name:景峰医药 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:39.02% 流通市值:27.69亿,
name:博敏电子 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:18.37% 流通市值:71.39亿,
name:新光药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:32.89% 流通市值:20.15亿,
name:尔康制药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:20.92% 流通市值:50.92亿,
name:贝瑞基因 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:67.09% 流通市值:44.18亿,
name:远望谷 日期:2023/10/24 0:00:00 diverTimes:10 涨幅:33.96% 流通市值:44.09亿,
name:罗博特科 日期:2023/10/24 0:00:00 diverTimes:10 涨幅:25.74% 流通市值:78.97亿,
name:凯普生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.39% 流通市值:63.72亿,
name:西部矿业 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:4.4% 流通市值:306.93亿,
name:科大智能 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:19.44% 流通市值:49.46亿,
name:日发精机 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:32.09% 流通市值:41.47亿,
name:万里扬 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:7.31% 流通市值:108.19亿,
name:万邦德 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:11.98% 流通市值:42.43亿,
name:海天精工 日期:2023/10/24 0:00:00 diverTimes:12 涨幅:4.37% 流通市值:132.01亿,
name:中电兴发 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.03% 流通市值:39.84亿,
name:通鼎互联 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:5.92% 流通市值:66.59亿,
name:奥锐特 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:21.6% 流通市值:101.9亿,
name:亚威股份 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:97.07% 流通市值:61.68亿,
name:东宝生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.02% 流通市值:33.87亿,
name:中关村 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:16.43% 流通市值:47.08亿,
name:海南海药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:15.17% 流通市值:56.99亿,
name:海南橡胶 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:3.17% 流通市值:186.16亿,
name:英可瑞 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:19.13% 流通市值:17.13亿,
name:益盛药业 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:13.96% 流通市值:21.51亿,
name:爱仕达 日期:2023/10/24 0:00:00 diverTimes:12 涨幅:17.96% 流通市值:26.89亿,
name:诚迈科技 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:16.19% 流通市值:79.25亿,
name:津药药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.68% 流通市值:58.53亿,
name:全通教育 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:13.57% 流通市值:40.97亿,
name:蓝帆医疗 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.09% 流通市值:71.31亿,
name:信测标准 日期:2023/10/24 0:00:00 diverTimes:11 涨幅:8.41% 流通市值:18.91亿,
name:金通灵 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:8.74% 流通市值:31.14亿,
name:天洋新材 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:9.66% 流通市值:33.79亿,
name:今天国际 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:10.83% 流通市值:30.68亿,
name:爱施德 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:38.22% 流通市值:111.13亿,
name:光韵达 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:16.78% 流通市值:33.29亿,
